"time","sensitivityMean","sensitivityMedian","sensitivityL","sensitivityQL","sensitivityQH","sensitivityH","testName"
0.5,0.892065109850251,0.892848413107988,0.85967853017484,0.882309034625716,0.902514309079293,0.920643624907387,NA
0.6,0.891162563469608,0.891894815214859,0.858859823797594,0.881434535655631,0.901620561478596,0.919958602718844,NA
0.7,0.890251324867041,0.891012303264032,0.85771619805988,0.880527479698881,0.900741594755529,0.919129270758959,NA
0.8,0.889331329274362,0.890065153414601,0.856542891191263,0.879652666222774,0.899875220512649,0.918207768127289,NA
0.9,0.888402512224942,0.889101187232306,0.85554079684291,0.878694274581446,0.898978074568788,0.917341345523886,NA
1,0.887464809585203,0.888145572578492,0.85435954375198,0.87759247075729,0.898100039886026,0.916630771464013,NA
1.1,0.886518157586905,0.88718199729805,0.853358827180289,0.876481515088829,0.897237064743898,0.915850094834903,NA
1.2,0.885562492860241,0.886244164089437,0.852321132763511,0.875419231383279,0.896321310807494,0.915117255008038,NA
1.3,0.884597752467736,0.885222544475682,0.851172281061651,0.874400337545906,0.895466438990917,0.914536402503042,NA
1.4,0.883623873938935,0.884234517467516,0.849758003286924,0.873229120481882,0.894558579753159,0.913771515357423,NA
1.5,0.88264079530588,0.883244749334947,0.848539524256856,0.872164138857648,0.893686095080188,0.913019184052593,NA
1.6,0.881648455139365,0.882372465483632,0.846961692378533,0.871082796919486,0.892882500514158,0.912356535167305,NA
1.7,0.880646792585956,0.881418699014092,0.845322909007476,0.870025525785882,0.892046922680338,0.911671677336293,NA
1.8,0.87963574740576,0.880441957708334,0.843755540860038,0.868846391216575,0.891198463190684,0.910965164180052,NA
1.9,0.878615260010935,0.879491724695673,0.842333762830185,0.867625728572615,0.890396027707212,0.910359355002673,NA
2,0.87758527150492,0.878499500094039,0.840842801641464,0.866445789853216,0.88962722593215,0.909796006135176,NA
2.1,0.876545723722356,0.877439724822761,0.839144394903949,0.865212422955815,0.88885336401029,0.909059681331352,NA
2.2,0.875496559269698,0.876366475591672,0.837453471774042,0.863907539621265,0.888033810095363,0.908530926490763,NA
2.3,0.874437721566465,0.875350443765027,0.835700238670321,0.862604000259791,0.887227346851819,0.90800503066129,NA
2.4,0.873369154887132,0.874323742017991,0.833804292275183,0.861361758594687,0.886417709450482,0.907587205072509,NA
2.5,0.872290804403604,0.87327405184389,0.831803479015042,0.859992349685939,0.88563616374371,0.907173023542767,NA
2.6,0.871202616228273,0.872230750003592,0.829697111478793,0.858642122386617,0.884881222684341,0.906746577451464,NA
2.7,0.870104537457594,0.871225421000848,0.827845548604129,0.85721058619297,0.88414908508723,0.906278699155542,NA
2.8,0.868996516216165,0.870160805508818,0.825965606600672,0.855809016663731,0.883315690066028,0.905856107602988,NA
2.9,0.867878501701265,0.869103371711084,0.824075370229061,0.854421232524231,0.882501520569784,0.905386086558551,NA
3,0.866750444227801,0.867962360915737,0.821904486996574,0.85308121045251,0.881634955386869,0.90498121754346,NA
3.1,0.865612295273643,0.86680944928095,0.819716458268596,0.851716963680578,0.880916756843597,0.904702270910024,NA
3.2,0.864464007525273,0.865666690755771,0.817157562230284,0.850308978157029,0.880140335069813,0.904364380768145,NA
3.3,0.863305534923722,0.864538175519852,0.814735903708766,0.848792352384496,0.879357283279637,0.904080239110441,NA
3.4,0.862136832710736,0.863429656125957,0.812400752809747,0.847408952664134,0.878501730554162,0.903711381267023,NA
3.5,0.860957857475115,0.862248831409478,0.810066739887132,0.845913071349404,0.877699492680616,0.90355032332524,NA
3.6,0.85976856719918,0.861159865943161,0.807654644072738,0.844362720070261,0.87698429489801,0.903310084553627,NA
3.7,0.858568921305302,0.860051999660434,0.805325993822368,0.84278021715962,0.876240623728344,0.902833598727695,NA
3.8,0.857358880702446,0.858913778935178,0.802914167638045,0.841193584291043,0.875508754388716,0.90250174323687,NA
3.9,0.856138407832653,0.857729425740615,0.80027601624604,0.839636484606016,0.874756509259921,0.902330662862579,NA
4,0.854907466717421,0.856594900548036,0.797614987885307,0.838016668294435,0.873995324969122,0.902078468398277,NA
4.1,0.853666023003896,0.855367614387271,0.794844663015473,0.836367719996214,0.873203974751346,0.901899469971677,NA
4.2,0.852414044010838,0.854102102116071,0.792178766652528,0.834664681007288,0.872475227287119,0.901638123257883,NA
4.3,0.851151498774263,0.852940480633632,0.789236462326854,0.83297149471605,0.871727440658755,0.901314790015806,NA
4.4,0.849878358092733,0.851712178600614,0.78625428276192,0.831274852033115,0.870888643163259,0.901128596027752,NA
4.5,0.848594594572189,0.850482055138469,0.783482624853846,0.829526857826188,0.870141426127168,0.900919660952812,NA
4.6,0.847300182670293,0.849312535237467,0.780640020608789,0.827670748104377,0.869425048604428,0.900885219684868,NA
4.7,0.845995098740178,0.84811190898341,0.777680608797979,0.825955831533244,0.868651773647792,0.900714202523688,NA
4.8,0.844679321073575,0.846817868546267,0.774702967996844,0.824203546154938,0.86784412130356,0.900613110861252,NA
4.9,0.843352829943217,0.845586781822249,0.771514801468462,0.822459134255166,0.867185688991253,0.900495732743284,NA
5,0.842015607644468,0.844325072479308,0.768329529775136,0.820702429501609,0.86643538024389,0.900363008380116,NA
5.1,0.840667638536108,0.843101028496371,0.765363209306586,0.818875942359325,0.865699116851171,0.900288696915499,NA
5.2,0.839308909080206,0.841791222861993,0.762682009849113,0.817075268828982,0.864880922510733,0.900227084384255,NA
5.3,0.837939407881016,0.840501602538548,0.759632083692526,0.815243309060598,0.864110016403571,0.900155240654704,NA
5.4,0.836559125722829,0.839280255252132,0.756392121915115,0.813513734107673,0.863275850518705,0.900004471772256,NA
